brand,price,old,brake,drivetrain,material
트렉 ,2700000,2014,림 브레이크,SHIMANO ULTEGRA,카본
기타 ,7500000,2019,디스크 브레이크,SHIMANO ULTEGRA,카본
삼천리 ,600000,2016,림 브레이크,SHIMANO 105,카본+알루미늄
게리 피셔 ,8000000,2019,디스크 브레이크,기타,티타늄
캐논데일 ,4100000,2018,디스크 브레이크,SHIMANO DURA-ACE,카본
스페셜라이즈드 ,2600000,2020,디스크 브레이크,SHIMANO 105,카본
자이언트 ,600000,2015,림 브레이크,SHIMANO CLARIS,알루미늄
기타 ,500000,2020,림 브레이크,SHIMANO CLARIS,카본
스페셜라이즈드 ,3200000,2016,림 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,2000000,2012,림 브레이크,SHIMANO ULTEGRA,카본
자이언트 ,1500000,2018,림 브레이크,SHIMANO 105,카본
트렉 ,1600000,2017,림 브레이크,SHIMANO ULTEGRA,알루미늄
스페셜라이즈드 ,7000000,2019,림 브레이크,SRAM RED,카본
콜나고 ,3000000,2014,림 브레이크,SHIMANO ULTEGRA,카본
기타 ,1200000,2018,림 브레이크,SHIMANO 105,카본
스페셜라이즈드 ,2800000,2017,림 브레이크,SHIMANO ULTEGRA,카본
기타 ,1500000,2016,림 브레이크,SHIMANO 105,카본
서벨로 ,2600000,2018,림 브레이크,SHIMANO ULTEGRA,카본
닐프라이드 ,4000000,2017,림 브레이크,SHIMANO ULTEGRA,카본
메리다 ,1900000,2020,림 브레이크,SHIMANO ULTEGRA,카본
서벨로 ,10500000,2020,디스크 브레이크,SHIMANO DURA-ACE,카본
자이언트 ,1400000,2018,림 브레이크,SHIMANO 105,알루미늄
포커스 ,4000000,2017,림 브레이크,SHIMANO ULTEGRA,카본
엘파마 ,1350000,2021,림 브레이크,SHIMANO 105,카본
서벨로 ,6500000,2018,림 브레이크,SHIMANO DURA-ACE,카본
라이트스피드 ,8300000,2010,림 브레이크,기타,티타늄
기타 ,3600000,2016,림 브레이크,SHIMANO 105,카본
기타 ,3700000,2016,림 브레이크,SHIMANO 105,카본
기타 ,7000000,2019,림 브레이크,SHIMANO DURA-ACE,카본
리들리 ,9000000,2019,디스크 브레이크,SRAM Force eTap AXS,카본
기타 ,4000000,2020,림 브레이크,SHIMANO DURA-ACE,카본
아르곤18 ,2500000,2019,림 브레이크,SHIMANO ULTEGRA,카본
스캇 ,4500000,2018,림 브레이크,SRAM RED eTAP,카본
스페셜라이즈드 ,11500000,2020,디스크 브레이크,SRAM RED eTap AXS,카본
삼천리 ,170000,2015,림 브레이크,SHIMANO SORA,알루미늄
비엠씨 ,2800000,2019,디스크 브레이크,SHIMANO ULTEGRA,카본
스캇 ,3300000,2018,림 브레이크,SHIMANO DURA-ACE,카본
캐논데일 ,1700000,2019,림 브레이크,SHIMANO 105,카본
룩 ,5700000,2019,림 브레이크,SHIMANO DURA-ACE,카본
팔리 ,11000000,2019,림 브레이크,SRAM RED eTAP,카본
엘파마 ,700000,2020,림 브레이크,SHIMANO 105,알루미늄
스페셜라이즈드 ,1700000,2020,디스크 브레이크,SHIMANO 105,카본+알루미늄
스페셜라이즈드 ,1600000,2014,림 브레이크,SHIMANO 105,카본
기타 ,2000000,2016,림 브레이크,SHIMANO ULTEGRA,카본
비엠씨 ,3000000,2018,림 브레이크,SHIMANO ULTEGRA,카본
비엠씨 ,5500000,2018,림 브레이크,SHIMANO ULTEGRA,카본
자이언트 ,2700000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
비앙키 ,3200000,2019,림 브레이크,SHIMANO ULTEGRA,카본
기타 ,900000,2019,림 브레이크,SHIMANO 105,카본
메리다 ,2200000,2017,림 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,9000000,2021,디스크 브레이크,SRAM RED eTap AXS,카본
기타 ,2100000,2016,림 브레이크,기타,카본
메리다 ,4200000,2020,디스크 브레이크,SRAM Force eTap AXS,카본
첼로 ,1550000,2021,디스크 브레이크,SHIMANO 105,카본
기타 ,1500000,2019,림 브레이크,SHIMANO ULTEGRA,카본
자이언트 ,1900000,2016,림 브레이크,SHIMANO ULTEGRA,카본
메리다 ,1050000,2015,림 브레이크,SHIMANO ULTEGRA,카본
첼로 ,1600000,2021,림 브레이크,SHIMANO 105,카본
메리다 ,3200000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
기타 ,600000,2014,림 브레이크,SHIMANO ULTEGRA,카본
엘파마 ,850000,2021,디스크 브레이크,SHIMANO CLARIS,알루미늄
바쏘 ,2800000,2018,림 브레이크,SHIMANO ULTEGRA,카본
데로사 ,1800000,2013,림 브레이크,SHIMANO ULTEGRA,카본
트렉 ,4500000,2018,림 브레이크,SHIMANO ULTEGRA,카본
트렉 ,4000000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
자이언트 ,770000,2021,디스크 브레이크,SHIMANO SORA,카본+알루미늄
기타 ,400000,2016,림 브레이크,SHIMANO CLARIS,알루미늄
치넬리 ,2650000,2020,디스크 브레이크,SHIMANO ULTEGRA,카본
서벨로 ,6900000,2019,디스크 브레이크,SHIMANO DURA-ACE,카본
포커스 ,7000000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
엘파마 ,850000,2021,디스크 브레이크,SHIMANO CLARIS,카본+알루미늄
비앙키 ,1000000,2021,림 브레이크,SHIMANO 105,알루미늄
기타 ,1500000,2018,림 브레이크,SHIMANO ULTEGRA,카본
자이언트 ,4250000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
기타 ,10000000,2019,림 브레이크,SHIMANO DURA-ACE,카본
메리다 ,4900000,2021,디스크 브레이크,SRAM Force eTap AXS,카본
서벨로 ,10000000,2021,디스크 브레이크,SRAM Force eTap AXS,카본
트렉 ,3800000,2017,림 브레이크,SHIMANO DURA-ACE,카본
자이언트 ,490000,2021,림 브레이크,SHIMANO CLARIS,알루미늄
비엠씨 ,6300000,2020,디스크 브레이크,SHIMANO ULTEGRA,카본
리브 ,450000,2016,디스크 브레이크,SHIMANO 105,알루미늄
메리다 ,2500000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
서벨로 ,1100000,2016,림 브레이크,SHIMANO 105,카본
스페셜라이즈드 ,1100000,2016,림 브레이크,SHIMANO 105,카본
비엠씨 ,6800000,2020,디스크 브레이크,SHIMANO ULTEGRA,카본
메리다 ,1400000,2017,림 브레이크,SHIMANO 105,카본
스페셜라이즈드 ,2700000,2020,디스크 브레이크,SHIMANO 105,카본
기타 ,2600000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
스캇 ,3500000,2015,림 브레이크,SHIMANO DURA-ACE,카본
트렉 ,5500000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
트렉 ,5000000,2017,림 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,8000000,2020,디스크 브레이크,SHIMANO DURA-ACE,카본
스페셜라이즈드 ,5400000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본+알루미늄
자이언트 ,3250000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
자이언트 ,2200000,2019,림 브레이크,SHIMANO ULTEGRA,카본
기타 ,3800000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
